,name,clouds,country,dt,humidity,lat,lon,temp_max,speed
0,Karlshamn,90,SE,1600737312,100,56.17,14.86,48.2,1.12
1,Jamestown,1,US,1600737305,54,42.1,-79.24,53.6,3.36
2,Faanui,0,PF,1600737510,77,-16.48,-151.75,78.58,20.85
3,Hithadhoo,100,MV,1600737511,77,-0.6,73.08,81.28,13.11
4,Grindavik,75,IS,1600737513,75,63.84,-22.43,41.0,19.46
5,Broome,70,US,1600737514,100,42.25,-75.83,48.99,2.59
6,Ajdabiya,0,LY,1600737515,77,30.76,20.23,67.48,7.23
7,São João da Barra,100,BR,1600737382,90,-21.64,-41.05,73.0,9.26
8,Kumul,0,CN,1600737518,46,42.8,93.45,63.14,7.78
9,Khatanga,0,RU,1600737519,75,71.97,102.5,43.25,7.27
10,Hilo,40,US,1600737386,58,19.73,-155.09,86.0,9.17
11,Noshiro,75,JP,1600737522,100,40.2,140.02,59.0,2.24
12,Mataura,100,NZ,1600737523,54,-46.19,168.86,63.0,17.0
13,Punta Arenas,75,CL,1600737249,87,-53.15,-70.92,42.8,5.82
14,Bethel,1,US,1600737355,70,41.37,-73.41,46.99,5.82
15,Ushuaia,96,AR,1600737527,75,-54.8,-68.3,44.6,3.36
16,Menongue,79,AO,1600737528,30,-14.66,17.69,66.36,4.83
17,Makakilo City,20,US,1600737529,45,21.35,-158.09,87.8,9.17
18,Mudu,100,CN,1600737306,79,31.25,120.51,68.32,4.05
19,Yeniseysk,22,RU,1600737531,84,58.45,92.17,49.28,10.98
20,Losheim,0,DE,1600737532,79,49.52,6.75,54.0,1.48
21,Korla,0,CN,1600737534,67,41.76,86.15,57.99,3.24
22,George Town,20,MY,1600737535,94,5.41,100.34,77.0,4.7
23,Nichinan,75,JP,1600737537,53,31.6,131.37,77.0,21.92
24,Tuktoyaktuk,75,CA,1600737538,84,69.45,-133.04,37.4,3.36
25,Atuona,49,PF,1600737249,78,-9.8,-139.03,78.42,19.93
26,Walvis Bay,0,NA,1600737541,100,-22.96,14.51,53.01,12.75
27,Pacific Grove,32,US,1600737542,91,36.62,-121.92,66.99,5.01
28,Otacílio Costa,100,BR,1600737543,93,-27.48,-50.12,47.03,4.79
29,Ponta do Sol,20,PT,1600737315,73,32.67,-17.1,71.6,5.82
30,Saint Paul Harbor,90,US,1600737259,87,57.79,-152.41,51.8,28.86
31,Dikson,100,RU,1600737265,89,73.51,80.55,46.81,30.11
32,Vaini,75,TO,1600737265,78,-21.2,-175.2,73.4,9.17
33,Leningradskiy,100,RU,1600737548,72,69.38,178.42,40.06,19.08
34,Cabo San Lucas,20,MX,1600737422,74,22.89,-109.91,84.2,10.29
35,Arraial do Cabo,75,BR,1600737551,94,-22.97,-42.03,71.6,13.87
36,Barrow,90,US,1600737552,86,71.29,-156.79,39.2,13.87
37,Santiago del Estero,0,AR,1600737553,29,-27.8,-64.26,61.72,11.18
38,Atar,1,MR,1600737327,32,20.52,-13.05,88.7,3.11
39,Rikitea,99,PF,1600737555,71,-23.12,-134.97,73.08,20.18
40,Geraldton,0,AU,1600737556,63,-28.77,114.6,60.8,12.75
41,Hearst,0,CA,1600737558,64,49.68,-83.67,58.71,13.94
42,Port Lincoln,65,AU,1600737559,64,-34.73,135.87,57.72,23.55
43,Karratha,0,AU,1600737560,17,-20.74,116.85,78.15,20.33
44,Constitución,100,CL,1600737314,81,-35.33,-72.42,54.01,11.97
45,Jarosław,0,PL,1600737563,100,50.02,22.68,53.01,1.12
46,Bara,4,NG,1600737564,91,10.37,10.73,70.23,4.25
47,Ribeira Grande,3,PT,1600737566,78,38.52,-28.7,68.76,17.47
48,Port Alfred,15,ZA,1600737567,81,-33.59,26.89,54.0,9.08
49,Olinda,40,BR,1600737568,74,-8.01,-34.86,78.8,10.29
50,Upernavik,61,GL,1600737569,85,72.79,-56.15,28.83,3.49
51,Tasiilaq,100,GL,1600737570,92,65.61,-37.64,30.2,6.93
52,Lata,100,PT,1600737571,91,40.16,-8.33,64.0,0.81
53,Albany,0,US,1600737574,54,42.6,-73.97,46.0,2.33
54,Carnarvon,0,AU,1600737575,51,-24.87,113.63,62.6,18.34
55,East London,4,ZA,1600737576,70,-33.02,27.91,56.97,7.29
56,Cidreira,0,BR,1600737577,72,-30.18,-50.21,52.92,7.96
57,Hobart,40,AU,1600737579,44,-42.88,147.33,62.01,14.99
58,Okoneshnikovo,65,RU,1600737580,68,54.84,75.08,42.35,10.36
59,Kindu,74,CD,1600737582,97,-2.95,25.95,69.91,1.72
60,Bredasdorp,0,ZA,1600737583,93,-34.53,20.04,41.0,2.24
61,Sept-Îles,5,CA,1600737537,65,50.2,-66.38,48.0,8.05
62,Fairlie,100,GB,1600737585,85,55.76,-4.86,55.99,1.99
63,Balabac,59,PH,1600737587,65,7.99,117.06,86.09,3.31
64,Tuatapere,100,NZ,1600737588,54,-46.13,167.68,63.0,17.0
65,Bluff,100,NZ,1600737589,54,-46.6,168.33,63.0,17.0
66,Caravelas,100,BR,1600737591,86,-17.71,-39.25,73.76,7.11
67,Yumen,0,CN,1600737592,48,40.28,97.2,55.27,3.2
68,Verkhoyansk,0,RU,1600737593,55,67.54,133.38,49.57,1.7
69,Mórrope,78,PE,1600737594,84,-6.54,-80.01,62.01,3.0
70,Sumbawanga,0,TZ,1600737596,67,-7.97,31.62,57.2,3.89
71,Puerto Maldonado,100,PE,1600737598,58,-12.6,-69.18,77.67,3.36
72,Blackfoot,1,US,1600737599,43,43.19,-112.34,78.8,0.69
73,San Patricio,75,MX,1600737600,74,19.22,-104.7,82.4,1.92
74,Butaritari,0,KI,1600737602,76,3.07,172.79,83.12,14.12
75,Saskylakh,3,RU,1600737603,68,71.92,114.08,46.35,13.2
76,Moose Factory,1,CA,1600737604,48,51.26,-80.61,64.4,19.46
77,Mogadishu,100,SO,1600737606,82,2.04,45.34,76.05,14.52
78,‘Ewa Beach,20,US,1600737607,45,21.32,-158.01,87.8,9.17
79,Talnakh,72,RU,1600737608,81,69.49,88.4,48.2,29.08
80,San Cristobal,90,VE,1600737609,84,7.77,-72.22,66.97,2.66
81,Broken Hill,40,AU,1600737610,58,-31.95,141.43,59.0,20.8
82,Sitka,75,US,1600737611,87,57.05,-135.33,53.6,5.26
83,Jérémie,62,HT,1600737614,69,18.65,-74.12,82.17,2.33
84,Saint-Pierre,25,RE,1600737615,60,-21.34,55.48,68.0,8.05
85,Guerrero Negro,0,MX,1600737616,61,27.98,-114.06,77.77,14.99
86,Preobrazheniye,59,RU,1600737617,75,42.9,133.91,60.87,4.7
87,Lompoc,20,US,1600737619,82,34.64,-120.46,62.6,10.29
88,Castaños,0,MX,1600737620,37,26.78,-101.42,78.01,1.01
89,Palmer,20,US,1600737365,70,42.16,-72.33,46.4,3.36
90,Cape Town,0,ZA,1600737515,81,-33.93,18.42,52.0,5.82
91,Saldanha,0,ZA,1600737623,75,-33.01,17.94,46.4,3.36
92,Codrington,100,AU,1600737626,82,-38.27,141.97,53.83,21.3
93,Longyearbyen,75,SJ,1600737627,89,78.22,15.64,39.2,21.92
94,Bandarbeyla,84,SO,1600737628,77,9.49,50.81,76.59,22.75
95,Nikolskoye,100,RU,1600737629,71,59.7,30.79,57.2,11.18
96,Puerto Ayora,97,EC,1600737631,89,-0.74,-90.35,66.69,9.19
97,Harper,100,LR,1600737632,90,4.38,-7.72,75.92,8.43
98,Busselton,8,AU,1600737633,84,-33.65,115.33,57.99,1.99
99,Saint George,1,US,1600737357,30,37.1,-113.58,87.01,14.99
100,Provideniya,84,RU,1600737635,52,64.38,-173.3,46.4,2.24
101,Mudanya,40,TR,1600737636,87,40.38,28.88,68.0,8.08
102,Yashalta,0,RU,1600737638,48,46.34,42.28,50.74,4.94
103,Chui,0,UY,1600737639,80,-33.7,-53.46,43.57,6.44
104,Teknāf,100,BD,1600737640,89,20.86,92.31,80.67,10.87
105,Mahébourg,20,MU,1600737643,73,-20.41,57.7,69.8,11.41
106,Kruisfontein,0,ZA,1600737644,85,-34.0,24.73,46.45,5.48
107,Revelstoke,75,CA,1600737646,88,50.98,-118.2,62.6,2.24
108,Saint-Philippe,40,RE,1600737648,60,-21.36,55.77,68.0,8.05
109,‘Āhuimanu,20,US,1600737649,62,21.44,-157.84,84.2,13.87
110,Thinadhoo,100,MV,1600737650,78,0.53,72.93,81.79,13.89
111,Shimoda,75,JP,1600737651,83,34.67,138.95,71.6,18.34
112,Lebu,72,CL,1600737653,88,-37.62,-73.65,48.33,13.96
113,New Norfolk,61,AU,1600737654,52,-42.78,147.06,62.01,5.01
114,Avarua,29,CK,1600737655,78,-21.21,-159.78,78.8,5.82
115,Dingle,54,PH,1600737390,74,11.0,122.67,83.37,3.91
116,Mēga,0,ET,1600737657,76,4.05,38.3,58.24,14.79
117,Diamantina,100,BR,1600737658,59,-18.25,-43.6,65.39,6.35
118,Tymovskoye,21,RU,1600737660,52,50.85,142.66,59.99,2.26
119,Mount Gambier,75,AU,1600737399,87,-37.83,140.77,53.6,20.8
120,Abu Samrah,0,SY,1600737663,72,35.3,37.18,64.71,6.35
121,Port Elizabeth,0,ZA,1600737664,81,-33.92,25.57,48.2,4.7
122,Nouakchott,40,MR,1600737665,83,18.09,-15.98,82.4,8.05
123,Airai,100,TL,1600737667,51,-8.93,125.41,74.89,5.14
124,Leshan,96,CN,1600737668,83,29.56,103.76,68.0,1.92
125,Kumluca,0,TR,1600737669,59,36.37,30.29,76.89,2.75
126,Yokadouma,100,CM,1600737670,96,3.52,15.05,68.29,1.95
127,Cordeiro,100,BR,1600737671,93,-22.03,-42.36,67.28,2.28
128,Ngunguru,40,NZ,1600737672,74,-35.62,174.5,62.01,8.01
129,Kavieng,19,PG,1600737674,79,-2.57,150.8,83.44,13.96
130,Kapaa,20,US,1600737676,62,22.08,-159.32,86.0,14.99
131,Cabatuan,80,PH,1600737677,71,10.88,122.49,84.07,3.85
132,Valdivia,100,CL,1600737678,93,-39.81,-73.25,44.6,3.36
133,Sørland,100,NO,1600737630,70,67.67,12.69,45.93,39.08
134,Lagoa,0,PT,1600737563,80,39.05,-27.98,68.61,13.94
135,Amapá,59,BR,1600737681,87,1.0,-52.0,75.92,7.56
136,Chokurdakh,100,RU,1600737683,62,70.63,147.92,44.83,10.63
137,Chamba,0,IN,1600737684,43,32.57,76.13,69.89,6.49
138,Mersing,20,MY,1600737685,100,2.43,103.84,75.2,2.24
139,Vieste,20,IT,1600737686,88,41.88,16.18,70.0,2.24
140,Kaitangata,100,NZ,1600737688,51,-46.28,169.85,61.54,8.48
141,Vizinga,99,RU,1600737689,95,61.07,50.1,37.89,6.89
142,Kuril'sk,99,RU,1600737690,89,45.23,147.88,57.15,11.56
143,Abū Zabad,0,SD,1600737691,78,12.35,29.25,77.04,7.0
144,Ilulissat,97,GL,1600737692,68,69.22,-51.1,30.2,9.17
145,Port Hedland,0,AU,1600737693,10,-20.32,118.57,80.6,18.34
146,Estelle,90,US,1600737695,100,29.85,-90.11,73.99,14.99
147,Dubbo,0,AU,1600737696,42,-32.25,148.62,68.0,10.29
148,Chimoio,75,MZ,1600737697,100,-19.12,33.48,64.4,10.29
149,Mangan,99,IN,1600737698,56,27.52,88.53,76.05,3.89
150,Kuchāman,77,IN,1600737699,40,27.15,74.85,76.26,2.44
151,Kavaratti,77,IN,1600737701,77,10.57,72.64,82.22,25.17
152,Praia da Vitória,40,PT,1600737702,82,38.73,-27.07,68.0,13.33
153,Yenagoa,100,NG,1600737703,93,4.92,6.26,74.75,4.09
154,Banyo,99,CM,1600737704,90,6.75,11.82,63.27,1.48
155,Vila Franca do Campo,40,PT,1600737707,88,37.72,-25.43,68.0,14.99
156,Abu Dhabi,0,AE,1600737441,89,24.47,54.37,86.0,5.82
157,Poland,1,US,1600737709,75,44.06,-70.39,45.0,1.66
158,Naze,75,JP,1600737710,94,28.37,129.48,80.6,20.8
159,Belmopan,32,BZ,1600737711,73,17.25,-88.77,80.01,2.77
160,Hohhot,95,CN,1600737712,50,40.81,111.65,53.6,6.71
161,Deputatsky,8,RU,1600737714,59,69.3,139.9,44.87,9.57
162,Thompson,90,CA,1600737655,93,55.74,-97.86,48.2,10.29
163,Roald,100,NO,1600737716,93,62.58,6.13,46.4,4.7
164,Mehamn,65,NO,1600737717,83,71.04,27.85,45.43,12.19
165,Havelock,40,US,1600737661,63,34.88,-76.9,63.0,12.75
166,Severo-Yeniseyskiy,100,RU,1600737719,78,60.37,93.04,44.46,10.49
167,Kieta,32,PG,1600737720,61,-6.22,155.63,86.18,3.4
168,Arrondissement de Brive-la-Gaillarde,100,FR,1600737722,71,45.25,1.5,61.0,1.34
169,Nanortalik,93,GL,1600737723,80,60.14,-45.24,37.49,6.13
170,Yellowknife,75,CA,1600737724,87,62.46,-114.35,51.01,5.82
171,Ambon City,75,ID,1600737566,88,-3.7,128.18,80.6,3.36
172,Doha,0,QA,1600737580,84,25.29,51.53,87.8,4.7
173,Clyde River,75,CA,1600737727,86,70.47,-68.59,28.4,13.87
174,Tazovsky,99,RU,1600737729,87,67.47,78.7,51.49,20.0
175,Ahipara,61,NZ,1600737730,70,-35.17,173.17,62.15,6.26
176,Qaanaaq,0,GL,1600737733,80,77.48,-69.36,13.59,5.68
177,San Matías,0,BO,1600737734,46,-16.37,-58.4,75.34,12.53
178,Pevek,75,RU,1600737735,78,69.7,170.31,38.34,9.73
179,Fortuna,40,US,1600737737,77,40.6,-124.16,66.0,10.29
180,Cherskiy,0,RU,1600737738,64,68.75,161.3,41.34,13.13
181,Boromo,0,BF,1600737739,90,11.75,-2.93,75.61,4.63
182,Bathsheba,20,BB,1600737740,78,13.22,-59.52,82.4,8.05
183,Dongsheng,100,CN,1600737741,58,39.82,109.98,57.72,3.91
184,Medvezh'yegorsk,96,RU,1600737742,85,62.92,34.47,51.31,12.33
185,Rawson,100,AR,1600737744,32,-43.3,-65.1,59.9,11.77
186,Ixtapa,90,MX,1600737745,94,20.7,-105.2,77.0,4.7
187,Alice Springs,0,AU,1600737747,11,-23.7,133.88,73.4,17.22
188,Zhezkazgan,75,KZ,1600737748,64,47.8,67.71,33.8,11.18
189,Aitape,34,PG,1600737749,64,-3.14,142.35,85.93,6.38
190,Portland,75,US,1600737661,47,45.52,-122.68,75.2,5.84
191,Okhotsk,100,RU,1600737637,63,59.38,143.3,52.52,7.27
192,Manaure,100,CO,1600737753,76,11.78,-72.44,84.67,12.48
193,La Ronge,40,CA,1600737754,51,55.1,-105.28,62.6,4.7
194,Peniche,86,PT,1600737756,90,39.36,-9.38,66.99,5.08
195,Souillac,20,MU,1600737758,73,-20.52,57.52,69.8,11.41
196,Byron Bay,38,AU,1600737493,65,-28.65,153.62,84.99,16.11
197,Tiksi,100,RU,1600737761,80,71.69,128.87,45.03,13.31
198,Skjervøy,99,NO,1600737762,76,70.03,20.97,48.7,25.55
199,Zhireken,100,RU,1600737763,85,52.82,117.31,44.82,1.95
200,Norman Wells,75,CA,1600737764,66,65.28,-126.83,50.0,4.7
201,Te Anau,98,NZ,1600737765,76,-45.42,167.72,52.77,11.21
202,Sinnamary,78,GF,1600737766,87,5.38,-52.95,79.59,9.89
203,Manaíra,0,BR,1600737538,79,-7.71,-38.15,69.26,6.91
204,Pangai,75,TO,1600737771,88,-19.8,-174.35,73.4,14.99
205,Bolshoye Nagatkino,75,RU,1600737772,87,54.52,47.97,50.0,8.95
206,Norrtälje,100,SE,1600737773,82,59.76,18.7,55.0,8.01
207,Homer,75,US,1600737646,66,59.64,-151.55,55.4,9.17
208,Bonnyville,75,CA,1600737775,55,54.27,-110.73,60.8,10.29
209,Sanmenxia,99,CN,1600737777,72,34.77,111.18,63.5,1.81
210,Kununurra,0,AU,1600737500,30,-15.77,128.73,93.2,5.82
211,Lüderitz,0,NA,1600737780,27,-26.65,15.16,66.99,11.32
212,Vorkuta,100,RU,1600737781,90,67.5,64.0,34.36,11.97
213,Jinka,51,ET,1600737782,73,5.65,36.65,66.2,2.57
